county,year,naics,emp,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
CAMPO,2010,111219,68,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CAMPO,2010,111421,102,2,0,0,1,0,1,0,0,0,0,0,0,0,0
CAMPO,2010,111422,21,3,2,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,113110,185,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CAMPO,2010,113310,41,4,3,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,115112,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,115113,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,115210,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,115310,33,5,3,1,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,221122,53,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CAMPO,2010,221310,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,236115,38,21,19,2,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,236118,89,19,12,4,3,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,236210,135,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CAMPO,2010,236220,113,10,5,2,1,2,0,0,0,0,0,0,0,0,0
CAMPO,2010,237110,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,237210,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,237310,52,2,0,0,0,2,0,0,0,0,0,0,0,0,0
CAMPO,2010,237990,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238111,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238131,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238142,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238161,22,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,238211,30,4,2,1,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238212,19,4,2,2,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238221,81,10,6,2,1,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,238222,18,3,2,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238311,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238321,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238341,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238351,21,6,5,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238391,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238911,16,2,1,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238912,30,2,1,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,238991,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,238992,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,311330,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,311520,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,311811,32,4,2,0,2,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,311812,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,312120,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,312130,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,321113,127,2,0,0,0,1,1,0,0,0,0,0,0,0,0
CAMPO,2010,321213,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,322299,55,1,0,0,0,0,1,0,0,0,0,0,0,0,0
CAMPO,2010,323110,46,4,0,3,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,323113,11,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,323122,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,325212,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,325314,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,325413,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,326199,29,2,0,1,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,327112,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,327212,125,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CAMPO,2010,327215,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,327331,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,327420,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,332213,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,332510,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,332710,31,5,2,2,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,333210,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,333298,70,2,1,0,0,0,1,0,0,0,0,0,0,0,0
CAMPO,2010,333512,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,333924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,333994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,333999,102,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CAMPO,2010,334111,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,334119,108,2,0,0,0,1,1,0,0,0,0,0,0,0,0
CAMPO,2010,334220,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,334413,1992,2,0,1,0,0,0,0,0,0,1,0,0,0,0
CAMPO,2010,334419,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,334516,48,2,0,1,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,336312,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,337110,13,2,1,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,337211,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,339113,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,339116,118,4,2,0,1,0,0,1,0,0,0,0,0,0,0
CAMPO,2010,339911,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
